epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,7713.34,0.79087,0.44503,0.8513,0.72526,0.55878,0.62048,0.34128,1.25928,0.6517,0.95119,0.00903627,0.00903627,0.00903627
103,7789.01,0.78739,0.44359,0.84999,0.72645,0.55821,0.62043,0.34124,1.25942,0.65186,0.95133,0.00901776,0.00901776,0.00901776
104,7864.02,0.7884,0.44394,0.84968,0.72831,0.55807,0.62128,0.34142,1.25904,0.65197,0.95104,0.00899908,0.00899908,0.00899908
105,7939.49,0.7879,0.44357,0.84956,0.72477,0.55969,0.62115,0.34157,1.25846,0.65163,0.95085,0.00898025,0.00898025,0.00898025
106,8014.83,0.78742,0.44435,0.84881,0.72554,0.55837,0.62106,0.34162,1.25855,0.65178,0.95065,0.00896127,0.00896127,0.00896127
107,8090.31,0.78247,0.44148,0.84837,0.72706,0.55744,0.6216,0.34158,1.25814,0.65192,0.95052,0.00894213,0.00894213,0.00894213
108,8165.63,0.77695,0.43815,0.84758,0.72777,0.55778,0.6219,0.34179,1.25833,0.65188,0.95045,0.00892283,0.00892283,0.00892283
109,8240.82,0.78029,0.44055,0.84839,0.72748,0.55783,0.62185,0.34174,1.258,0.65156,0.95041,0.00890339,0.00890339,0.00890339
110,8316.02,0.77885,0.43935,0.84871,0.72593,0.55948,0.62207,0.34187,1.25784,0.65144,0.95033,0.00888379,0.00888379,0.00888379
111,8391.39,0.78272,0.44179,0.84912,0.72897,0.55789,0.62219,0.34211,1.25783,0.65145,0.95033,0.00886404,0.00886404,0.00886404
112,8466.53,0.78169,0.44038,0.84896,0.72937,0.55812,0.62224,0.34218,1.25772,0.65119,0.95031,0.00884414,0.00884414,0.00884414
