epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,2341.18,1.01565,0.53458,0.86745,0.59549,0.33471,0.36741,0.19839,1.26634,0.64935,0.93408,0.00910876,0.00910876,0.00910876
99,2364.87,1.01514,0.53492,0.86751,0.5825,0.33817,0.36647,0.19735,1.28025,0.65325,0.93489,0.00909088,0.00909088,0.00909088
100,2388.74,1.01436,0.53523,0.86663,0.59602,0.33431,0.3692,0.19898,1.27881,0.66091,0.93258,0.00907284,0.00907284,0.00907284
101,2413.05,1.01368,0.53399,0.86615,0.58866,0.33883,0.36606,0.19905,1.26687,0.65327,0.93128,0.00905463,0.00905463,0.00905463
102,2436.41,1.01003,0.53239,0.86605,0.59684,0.33604,0.37259,0.20172,1.27502,0.65868,0.93218,0.00903627,0.00903627,0.00903627
103,2460.66,1.00591,0.53076,0.86535,0.57843,0.34204,0.37133,0.20143,1.26543,0.64923,0.92995,0.00901776,0.00901776,0.00901776
104,2483.89,1.00751,0.5331,0.8661,0.59101,0.33893,0.37319,0.20103,1.28474,0.66708,0.93421,0.00899908,0.00899908,0.00899908
105,2508.12,1.0081,0.53112,0.86567,0.58495,0.3389,0.3714,0.20234,1.26434,0.65471,0.93506,0.00898025,0.00898025,0.00898025
106,2531.48,1.00293,0.52695,0.86435,0.58834,0.34251,0.37395,0.20076,1.27198,0.65053,0.93094,0.00896127,0.00896127,0.00896127
107,2555.8,1.00349,0.52835,0.86452,0.59037,0.33526,0.36857,0.19773,1.28303,0.65063,0.93516,0.00894213,0.00894213,0.00894213
108,2579.21,0.99931,0.52634,0.86369,0.59365,0.33649,0.36606,0.19839,1.27765,0.65019,0.93483,0.00892283,0.00892283,0.00892283
109,2603.46,0.99691,0.52718,0.8636,0.59545,0.33983,0.37637,0.20358,1.27469,0.66122,0.93242,0.00890339,0.00890339,0.00890339
110,2626.9,1.00062,0.52659,0.86415,0.59748,0.34087,0.37281,0.20165,1.26582,0.64829,0.92925,0.00888379,0.00888379,0.00888379
111,2651.22,0.99985,0.52611,0.86351,0.59679,0.34062,0.37528,0.20392,1.26986,0.64856,0.93124,0.00886404,0.00886404,0.00886404
112,2674.58,0.99792,0.52569,0.86315,0.59869,0.33492,0.37494,0.20219,1.26879,0.66037,0.9291,0.00884414,0.00884414,0.00884414
113,2698.97,1.0007,0.52817,0.86452,0.60129,0.33689,0.37933,0.20402,1.27465,0.67272,0.93215,0.00882409,0.00882409,0.00882409
114,2722.41,0.9967,0.5239,0.86291,0.60554,0.34098,0.37692,0.20566,1.26048,0.64786,0.9304,0.00880389,0.00880389,0.00880389
115,2746.74,0.99343,0.52416,0.8648,0.59756,0.34362,0.37623,0.20389,1.25382,0.6388,0.92929,0.00878354,0.00878354,0.00878354
116,2769.97,0.99092,0.52266,0.8625,0.60794,0.34058,0.37518,0.204,1.25619,0.63979,0.93151,0.00876305,0.00876305,0.00876305
117,2794.38,0.9896,0.52168,0.86272,0.60701,0.34125,0.37602,0.20252,1.26235,0.6441,0.9289,0.00874241,0.00874241,0.00874241
118,2817.65,0.982,0.52072,0.8622,0.60144,0.34106,0.37654,0.20199,1.27538,0.64748,0.93193,0.00872162,0.00872162,0.00872162
119,2841.85,0.98852,0.52108,0.86271,0.59254,0.33709,0.36949,0.19843,1.271,0.65267,0.93086,0.00870069,0.00870069,0.00870069
120,2865.04,0.9869,0.52226,0.86233,0.59653,0.33807,0.37371,0.20235,1.25796,0.6469,0.93029,0.00867961,0.00867961,0.00867961
121,2889.21,0.99086,0.52287,0.86368,0.60351,0.34405,0.37622,0.20426,1.25255,0.63875,0.92948,0.00865839,0.00865839,0.00865839
122,2912.4,0.9821,0.52001,0.86146,0.60762,0.34351,0.38185,0.20541,1.26226,0.64294,0.93032,0.00863703,0.00863703,0.00863703
123,2936.27,0.98711,0.51971,0.86314,0.59342,0.3486,0.37837,0.20385,1.26329,0.64438,0.92946,0.00861553,0.00861553,0.00861553
124,2960.44,0.98658,0.52131,0.86268,0.60445,0.34256,0.37742,0.20384,1.25583,0.64145,0.92991,0.00859389,0.00859389,0.00859389
125,2983.65,0.97974,0.51691,0.86179,0.60063,0.34524,0.37953,0.20468,1.25964,0.64461,0.92578,0.0085721,0.0085721,0.0085721
126,3007.79,0.98211,0.52048,0.86309,0.60013,0.33928,0.37396,0.20178,1.27004,0.64756,0.9326,0.00855018,0.00855018,0.00855018
127,3030.99,0.9819,0.51663,0.86121,0.59944,0.33901,0.37615,0.20436,1.26755,0.64819,0.93114,0.00852812,0.00852812,0.00852812
128,3055.1,0.97868,0.51864,0.86102,0.59689,0.34224,0.37562,0.20354,1.26241,0.64404,0.93167,0.00850592,0.00850592,0.00850592
129,3078.35,0.97745,0.51477,0.86022,0.60854,0.34672,0.38585,0.20846,1.25558,0.64715,0.92881,0.00848358,0.00848358,0.00848358
